Created as New Dataset;Sample 009 By student Date söndag, februari 22 2026
nm;%T
2336,3;27,69
2340,0;35,39
2343,8;30,42
2347,5;31,18
2351,3;31,38
2355,0;35,76
2358,8;33,46
2362,5;32,79
2366,3;33,68
2370,0;34,33
2373,8;33,53
2377,5;31,45
2381,3;33,00
2385,0;32,02
2388,8;33,56
2392,5;32,96
2396,3;34,57
2400,0;32,26
2403,8;34,65
2407,5;33,29
2411,3;33,13
2415,0;32,62
2418,8;33,52
2422,5;33,57
2426,3;32,34
2430,0;32,11
2433,8;30,88
2437,5;32,99
2441,3;32,40
2445,0;32,43
2448,8;32,78
2452,5;32,92
2456,3;32,15
2460,0;33,28
2463,8;33,09
2467,5;33,66
2471,3;32,84
2475,0;32,83
2478,8;32,28
2482,5;31,81
2486,3;32,39
2490,0;33,40
2493,8;32,00
2497,5;31,89
2501,3;32,44
2505,0;32,69
2508,8;31,24
2512,5;31,53
2516,3;32,20
2520,0;32,49
2523,8;31,63
2527,5;33,02
2531,3;32,67
2535,0;33,77
2538,8;33,72
2542,5;32,83
2546,3;32,21
2550,0;32,49
2553,8;33,31
2557,5;32,73
2561,3;33,18
2565,0;32,92
2568,8;32,26
2572,5;33,36
2576,3;33,46
2580,0;32,51
2583,8;32,56
2587,5;32,99
2591,3;32,81
2595,0;33,68
2598,8;33,03
2602,5;32,71
2606,3;31,85
2610,0;32,70
2613,8;32,63
2617,5;32,74
2621,3;32,65
2625,0;33,16
2628,8;32,05
2632,5;32,15
2636,3;32,20
2640,0;32,25
2643,8;32,20
2647,5;32,52
2651,3;32,46
2655,0;32,85
2658,8;32,59
2662,5;33,57
2666,3;33,15
2670,0;33,24
2673,8;32,75
2677,5;33,32
2681,3;32,52
2685,0;32,45
2688,8;32,50
2692,5;32,19
2696,3;33,10
2700,0;33,15
2703,8;32,29
2707,5;32,67
2711,3;32,72
2715,0;33,34
2718,8;32,35
2722,5;32,81
2726,3;32,97
2730,0;32,70
2733,8;33,07
2737,5;32,78
2741,3;33,16
2745,0;32,37
2748,8;32,18
2752,5;31,80
2756,3;32,65
2760,0;32,21
2763,8;32,18
2767,5;32,33
2771,3;32,45
2775,0;32,19
2778,8;31,66
2782,5;32,16
2786,3;32,20
2790,0;32,42
2793,8;32,33
2797,5;31,82
2801,3;32,13
2805,0;32,23
2808,8;31,86
2812,5;32,12
2816,3;31,68
2820,0;31,99
2823,8;31,88
2827,5;31,81
2831,3;32,22
2835,0;32,14
2838,8;32,09
2842,5;31,80
2846,3;32,12
2850,0;31,98
2853,8;31,83
2857,5;31,55
2861,3;31,93
2865,0;31,86
2868,8;31,52
2872,5;32,10
2876,3;31,91
2880,0;30,99
2883,8;31,91
2887,5;32,00
2891,3;31,74
2895,0;31,49
2898,8;31,78
2902,5;31,83
2906,3;31,64
2910,0;31,87
2913,8;31,65
2917,5;31,42
2921,3;31,48
2925,0;31,69
2928,8;31,65
2932,5;31,20
2936,3;31,67
2940,0;31,83
2943,8;31,69
2947,5;31,65
2951,3;31,76
2955,0;31,79
2958,8;31,70
2962,5;31,99
2966,3;31,79
2970,0;32,04
2973,8;31,72
2977,5;31,44
2981,3;31,88
2985,0;31,41
2988,8;31,45
2992,5;31,55
2996,3;31,56
3000,0;31,16
3003,8;31,45
3007,5;31,49
3011,3;31,53
3015,0;31,51
3018,8;31,31
3022,5;31,60
3026,3;31,43
3030,0;31,56
3033,8;31,30
3037,5;31,58
3041,3;31,67
3045,0;31,27
3048,8;31,50
3052,5;31,30
3056,3;31,22
3060,0;31,43
3063,8;31,42
3067,5;31,50
3071,3;31,25
3075,0;31,30
3078,8;31,43
3082,5;31,50
3086,3;31,53
3090,0;31,35
3093,8;31,34
3097,5;31,00
3101,3;31,28
3105,0;31,11
3108,8;31,19
3112,5;31,63
3116,3;31,58
3120,0;31,58
3123,8;31,53
3127,5;31,43
3131,3;31,37
3135,0;31,44
3138,8;31,47
3142,5;31,71
3146,3;31,54
3150,0;31,03
3153,8;31,47
3157,5;31,23
3161,3;31,49
3165,0;31,64
3168,8;31,54
3172,5;31,21
3176,3;31,24
3180,0;31,39
3183,8;31,55
3187,5;31,41
3191,3;31,33
3195,0;31,43
3198,8;31,36
3202,5;31,55
3206,3;31,20
3210,0;31,34
3213,8;31,57
3217,5;31,40
3221,3;31,67
3225,0;31,56
3228,8;31,10
3232,5;31,40
3236,3;31,55
3240,0;31,54
3243,8;31,33
3247,5;31,42
3251,3;31,35
3255,0;31,37
3258,8;31,55
3262,5;31,63
3266,3;31,38
3270,0;31,22
3273,8;31,34
3277,5;31,42
3281,3;31,39
